2023-03-25 18:22:42.627992;173.212.238.3;62.140.24.1;8.485
2023-03-25 18:22:42.628558;62.140.24.1;4.69.161.102;41.6
2023-03-25 18:22:42.628702;4.69.161.102;212.133.6.54;41.678
2023-03-25 18:22:42.628820;212.133.6.54;87.250.239.185;61.075
2023-03-25 18:22:54.292569;173.212.238.3;62.140.26.21;6.028
2023-03-25 18:22:54.292773;62.140.26.21;4.69.158.190;6.075
2023-03-25 18:22:54.292890;4.69.158.190;142.250.165.106;5.535
2023-03-25 18:22:54.293000;142.250.165.106;142.251.65.131;4.63
2023-03-25 18:22:54.293108;142.251.65.131;142.250.236.51;14.613
2023-03-25 18:22:54.293219;142.250.236.51;142.250.185.142;3.585
2023-03-25 18:23:04.104952;173.212.238.3;62.67.36.137;8.384
2023-03-25 18:23:04.105155;172.71.244.5;1.1.1.1;6.051
2023-03-25 18:24:02.567192;173.212.238.3;62.140.24.1;8.479
2023-03-25 18:24:02.567496;62.140.24.1;4.69.161.102;41.574
2023-03-25 18:24:02.567590;4.69.161.102;212.133.6.54;41.635
2023-03-25 18:24:02.567654;212.133.6.54;87.250.239.185;59.18
2023-03-25 18:24:12.204853;173.212.238.3;195.16.162.233;5.908
2023-03-25 18:24:12.205139;195.16.162.233;4.69.158.190;6.057
2023-03-25 18:24:12.205239;4.69.158.190;142.250.165.106;5.543
2023-03-25 18:24:12.205302;142.250.165.106;142.251.48.235;3.677
2023-03-25 18:24:12.205361;142.251.48.235;142.250.229.59;3.654
2023-03-25 18:24:12.205419;142.250.229.59;142.250.181.238;3.569
2023-03-25 18:24:17.740665;173.212.238.3;62.67.36.137;8.344
2023-03-25 18:24:17.740859;172.71.244.5;1.1.1.1;5.969
2023-03-25 18:24:55.339568;213.136.75.1;62.115.33.118;0.775
2023-03-25 18:24:55.339719;62.115.118.111;62.115.125.161;165.517
2023-03-25 18:24:55.339788;62.115.125.161;213.248.81.134;165.657
2023-03-25 18:24:55.339851;213.248.81.134;66.151.144.71;162.544
2023-03-25 18:24:55.339910;66.151.144.71;64.74.135.182;162.361
2023-03-25 18:24:55.339969;64.74.135.182;74.217.183.17;173.762
2023-03-25 18:24:55.340026;74.217.183.17;45.12.131.7;162.513
2023-03-25 18:25:19.731661;213.136.75.1;62.115.33.118;0.791
2023-03-25 18:25:19.731819;62.115.112.244;62.115.118.149;113.191
2023-03-25 18:25:19.731891;62.115.118.149;62.115.115.71;113.012
2023-03-25 18:25:19.731956;62.115.115.71;213.248.70.98;112.888
2023-03-25 18:25:19.732016;213.248.70.98;138.199.0.233;112.87
2023-03-25 18:25:19.732118;138.199.0.233;87.249.134.236;112.639
2023-03-25 18:25:47.543357;213.136.75.1;62.115.33.118;0.734
2023-03-25 18:25:47.543574;62.115.112.244;80.91.246.162;112.991
2023-03-25 18:25:47.543677;80.91.246.162;62.115.132.155;155.724
2023-03-25 18:25:47.543773;62.115.132.155;80.239.193.194;155.701
2023-03-25 18:25:47.543867;80.239.193.194;185.156.45.151;155.69
2023-03-25 18:25:47.543959;185.156.45.151;138.199.43.6;155.576
2023-03-25 18:26:52.440977;173.212.238.3;62.67.36.137;8.384
2023-03-25 18:26:52.441119;154.54.56.189;130.117.0.121;19.381
