timestring;timeunix;is_last;name;nat_id;received_ip_src;received_ip_ttl;received_timestamp;rtt_usec;sent_ip_dst;sent_ip_ttl;sent_timestamp;sent_udp_dport
2023-05-08 15:17:17.521079;1683548237.5211;False;10.1.139.5;0;10.1.139.5;62;1683548226.799538;5649;8.8.8.8;3;1683548226.793889;33436;
2023-05-08 15:17:17.521234;1683548237.52124;False;10.1.139.17;0;10.1.139.17;254;1683548226.822745;10686;8.8.8.8;4;1683548226.812059;33436;
2023-05-08 15:17:17.521424;1683548237.521431;False;10.0.21.163;0;10.0.21.163;251;1683548226.833250;4058;8.8.8.8;5;1683548226.829192;33436;
2023-05-08 15:17:17.521555;1683548237.521575;False;10.17.0.139;0;10.17.0.139;250;1683548226.849972;4322;8.8.8.8;6;1683548226.845650;33436;
2023-05-08 15:17:17.521771;1683548237.521777;False;10.17.0.100;0;10.17.0.100;249;1683548226.879322;2809;8.8.8.8;7;1683548226.876513;33436;
2023-05-08 15:17:17.522022;1683548237.5220292;False;10.17.0.66;16364;10.17.0.66;248;1683548226.901636;5280;8.8.8.8;8;1683548226.896356;33436;
2023-05-08 15:17:17.522257;1683548237.5222661;False;10.17.0.150;16364;10.17.0.150;248;1683548226.923679;6298;8.8.8.8;9;1683548226.917381;33436;
2023-05-08 15:17:17.522492;1683548237.522512;False;10.3.1.129;16364;10.3.1.129;247;1683548226.945645;11346;8.8.8.8;10;1683548226.934299;33436;
2023-05-08 15:17:17.522720;1683548237.5227258;False;72.14.220.188;16364;72.14.220.188;243;1683548226.961528;11067;8.8.8.8;11;1683548226.950461;33436;
2023-05-08 15:17:17.522855;1683548237.522861;False;108.170.250.83;16364;108.170.250.83;242;1683548226.983331;17312;8.8.8.8;12;1683548226.966019;33436;
2023-05-08 15:17:17.523036;1683548237.523042;False;;;;;;None;8.8.8.8;13;1683548226.981272;33436;
2023-05-08 15:17:17.523150;1683548237.523156;False;142.251.237.144;16364;142.251.237.144;241;1683548227.48898;50863;8.8.8.8;14;1683548226.998035;33436;
2023-05-08 15:17:17.523259;1683548237.523264;False;142.250.209.25;16364;142.250.209.25;240;1683548227.43515;27857;8.8.8.8;15;1683548227.15658;33436;
2023-05-08 15:17:17.523363;1683548237.523368;True;;;;;;None;8.8.8.8;16;1683548227.37509;33436;
2023-05-08 15:17:17.523468;1683548237.5234718;False;192.168.0.1;0;192.168.0.1;64;1683548227.320259;13957;8.8.8.8;1;1683548227.306302;33437;
2023-05-08 15:17:17.523570;1683548237.523575;False;100.79.0.1;0;100.79.0.1;254;1683548227.331707;8707;8.8.8.8;2;1683548227.323000;33437;
2023-05-08 15:17:17.523672;1683548237.5236769;False;10.1.139.5;0;10.1.139.5;62;1683548227.344218;6637;8.8.8.8;3;1683548227.337581;33437;
2023-05-08 15:17:17.523774;1683548237.5237792;False;10.1.139.17;0;10.1.139.17;254;1683548227.355523;2519;8.8.8.8;4;1683548227.353004;33437;
2023-05-08 15:17:17.523875;1683548237.52388;False;10.0.21.163;0;10.0.21.163;251;1683548227.371504;4185;8.8.8.8;5;1683548227.367319;33437;
2023-05-08 15:17:17.523975;1683548237.5239801;False;10.17.0.139;0;10.17.0.139;250;1683548227.389386;6346;8.8.8.8;6;1683548227.383040;33437;
2023-05-08 15:17:17.524077;1683548237.524082;False;10.17.0.100;0;10.17.0.100;249;1683548227.400550;3115;8.8.8.8;7;1683548227.397435;33437;
2023-05-08 15:17:17.524177;1683548237.524181;False;10.17.0.66;16364;10.17.0.66;248;1683548227.418906;1711;8.8.8.8;8;1683548227.417195;33437;
2023-05-08 15:17:17.524277;1683548237.5242822;False;10.17.0.150;16364;10.17.0.150;248;1683548227.441440;8717;8.8.8.8;9;1683548227.432723;33437;
2023-05-08 15:17:17.524377;1683548237.524381;False;10.3.1.129;16364;10.3.1.129;247;1683548227.457686;9222;8.8.8.8;10;1683548227.448464;33437;
2023-05-08 15:17:17.524560;1683548237.524565;False;72.14.220.188;16364;72.14.220.188;243;1683548227.479296;12391;8.8.8.8;11;1683548227.466905;33437;
2023-05-08 15:17:17.524663;1683548237.524668;False;108.170.250.66;16364;108.170.250.66;242;1683548227.506081;23788;8.8.8.8;12;1683548227.482293;33437;
2023-05-08 15:17:17.524763;1683548237.524768;False;142.250.238.214;16364;142.250.238.214;240;1683548227.602076;103893;8.8.8.8;13;1683548227.498183;33437;
2023-05-08 15:17:17.525475;1683548237.525483;False;142.250.235.62;16364;142.250.235.62;241;1683548227.732120;117820;8.8.8.8;14;1683548227.614300;33437;
2023-05-08 15:17:17.525606;1683548237.525612;False;216.239.47.201;16364;216.239.47.201;240;1683548227.768585;135274;8.8.8.8;15;1683548227.633311;33437;
2023-05-08 15:17:17.525788;1683548237.525793;True;;;;;;None;8.8.8.8;16;1683548227.876140;33437;
2023-05-08 15:17:17.525901;1683548237.5259058;False;192.168.0.1;0;192.168.0.1;64;1683548228.236177;11346;8.8.8.8;1;1683548228.224831;33438;
2023-05-08 15:17:17.526007;1683548237.526012;False;100.79.0.1;0;100.79.0.1;254;1683548228.241375;1697;8.8.8.8;2;1683548228.239678;33438;
2023-05-08 15:17:17.526110;1683548237.5261152;False;10.1.139.5;0;10.1.139.5;62;1683548228.256982;1678;8.8.8.8;3;1683548228.255304;33438;
2023-05-08 15:17:17.526212;1683548237.526216;False;10.1.139.17;0;10.1.139.17;254;1683548228.307087;33566;8.8.8.8;4;1683548228.273521;33438;
2023-05-08 15:17:17.526312;1683548237.5263171;False;10.0.21.163;0;10.0.21.163;251;1683548228.301590;2421;8.8.8.8;5;1683548228.299169;33438;
2023-05-08 15:17:17.526412;1683548237.5264168;False;10.17.0.139;0;10.17.0.139;250;1683548228.324293;7463;8.8.8.8;6;1683548228.316830;33438;
2023-05-08 15:17:17.526513;1683548237.526517;False;10.17.0.100;0;10.17.0.100;249;1683548228.341469;5349;8.8.8.8;7;1683548228.336120;33438;
2023-05-08 15:17:17.526611;1683548237.526616;False;10.17.0.66;16364;10.17.0.66;248;1683548228.358479;6143;8.8.8.8;8;1683548228.352336;33438;
2023-05-08 15:17:17.526710;1683548237.5267148;False;10.17.0.150;16364;10.17.0.150;248;1683548228.382032;11795;8.8.8.8;9;1683548228.370237;33438;
2023-05-08 15:17:17.526809;1683548237.526813;False;10.3.1.129;16364;10.3.1.129;247;1683548228.399909;10028;8.8.8.8;10;1683548228.389881;33438;
2023-05-08 15:17:17.527042;1683548237.527049;False;72.14.220.188;16364;72.14.220.188;243;1683548228.418709;13299;8.8.8.8;11;1683548228.405410;33438;
2023-05-08 15:17:17.527156;1683548237.5271611;False;108.170.250.99;16364;108.170.250.99;242;1683548228.452864;9463;8.8.8.8;12;1683548228.443401;33438;
2023-05-08 15:17:17.527344;1683548237.52735;False;142.251.49.24;16364;142.251.49.24;241;1683548228.507560;16700;8.8.8.8;13;1683548228.490860;33438;
2023-05-08 15:17:17.527455;1683548237.52746;False;172.253.65.82;16364;172.253.65.82;240;1683548228.551428;39480;8.8.8.8;14;1683548228.511948;33438;
2023-05-08 15:17:17.527560;1683548237.527565;False;142.250.208.23;16364;142.250.208.23;241;1683548228.562536;30088;8.8.8.8;15;1683548228.532448;33438;
2023-05-08 15:17:17.527663;1683548237.527668;True;;;;;;None;8.8.8.8;16;1683548228.553753;33438;
2023-05-08 15:17:17.527774;1683548237.527779;False;192.168.0.1;0;192.168.0.1;64;1683548228.859111;19213;8.8.8.8;1;1683548228.839898;33439;
2023-05-08 15:17:17.527877;1683548237.527882;False;100.79.0.1;0;100.79.0.1;254;1683548228.864194;4729;8.8.8.8;2;1683548228.859465;33439;
2023-05-08 15:17:17.527998;1683548237.5280051;False;10.1.139.5;0;10.1.139.5;62;1683548228.881833;1534;8.8.8.8;3;1683548228.880299;33439;
2023-05-08 15:17:17.528121;1683548237.528127;False;10.1.139.17;0;10.1.139.17;254;1683548228.944206;3957;8.8.8.8;4;1683548228.940249;33439;
2023-05-08 15:17:17.528240;1683548237.528246;False;10.0.21.163;0;10.0.21.163;251;1683548228.970888;5944;8.8.8.8;5;1683548228.964944;33439;
2023-05-08 15:17:17.528586;1683548237.5285919;False;10.17.0.139;0;10.17.0.139;250;1683548229.9901;4239;8.8.8.8;6;1683548229.5662;33439;
2023-05-08 15:17:17.528687;1683548237.528713;False;10.17.0.100;0;10.17.0.100;249;1683548229.26170;5027;8.8.8.8;7;1683548229.21143;33439;
2023-05-08 15:17:17.528956;1683548237.5289621;False;10.17.0.66;16364;10.17.0.66;248;1683548229.47716;10997;8.8.8.8;8;1683548229.36719;33439;
2023-05-08 15:17:17.529069;1683548237.529074;False;10.17.0.150;16364;10.17.0.150;248;1683548229.69570;5333;8.8.8.8;9;1683548229.64237;33439;
2023-05-08 15:17:17.529174;1683548237.5291789;False;10.3.1.129;16364;10.3.1.129;247;1683548229.139224;48736;8.8.8.8;10;1683548229.90488;33439;
2023-05-08 15:17:17.529276;1683548237.5292811;False;72.14.220.188;16364;72.14.220.188;243;1683548229.144442;36922;8.8.8.8;11;1683548229.107520;33439;
2023-05-08 15:17:17.529377;1683548237.529382;False;108.170.250.51;16364;108.170.250.51;241;1683548229.149562;23946;8.8.8.8;12;1683548229.125616;33439;
2023-05-08 15:17:17.529503;1683548237.5295072;False;;;;;;None;8.8.8.8;13;1683548229.145350;33439;
2023-05-08 15:17:17.529606;1683548237.529611;False;74.125.253.94;16364;74.125.253.94;241;1683548229.210622;46466;8.8.8.8;14;1683548229.164156;33439;
2023-05-08 15:17:17.529794;1683548237.529801;False;142.250.56.215;16364;142.250.56.215;241;1683548229.216207;10333;8.8.8.8;15;1683548229.205874;33439;
2023-05-08 15:17:17.530206;1683548237.530216;True;;;;;;None;8.8.8.8;16;1683548229.223682;33439;
2023-05-08 15:17:17.530500;1683548237.530509;False;192.168.0.1;0;192.168.0.1;64;1683548229.474902;3847;8.8.8.8;1;1683548229.471055;33440;
2023-05-08 15:17:17.532386;1683548237.5324001;False;100.79.0.1;0;100.79.0.1;254;1683548229.491252;5598;8.8.8.8;2;1683548229.485654;33440;
2023-05-08 15:17:17.532562;1683548237.5325708;False;10.1.139.5;0;10.1.139.5;62;1683548229.514643;8700;8.8.8.8;3;1683548229.505943;33440;
2023-05-08 15:17:17.532757;1683548237.5327811;False;10.1.139.17;0;10.1.139.17;254;1683548229.531694;9835;8.8.8.8;4;1683548229.521859;33440;
2023-05-08 15:17:17.533302;1683548237.533313;False;10.0.21.163;0;10.0.21.163;251;1683548229.543311;6646;8.8.8.8;5;1683548229.536665;33440;
2023-05-08 15:17:17.533458;1683548237.5334651;False;10.17.0.139;0;10.17.0.139;250;1683548229.565288;9511;8.8.8.8;6;1683548229.555777;33440;
2023-05-08 15:17:17.534018;1683548237.5344892;False;10.17.0.100;0;10.17.0.100;249;1683548229.576030;4486;8.8.8.8;7;1683548229.571544;33440;
2023-05-08 15:17:17.534883;1683548237.534894;False;10.17.0.66;16364;10.17.0.66;248;1683548229.592312;4314;8.8.8.8;8;1683548229.587998;33440;
2023-05-08 15:17:17.535103;1683548237.5351129;False;10.17.0.158;16364;10.17.0.158;248;1683548229.609038;5935;8.8.8.8;9;1683548229.603103;33440;
2023-05-08 15:17:17.535328;1683548237.535337;False;10.3.1.129;16364;10.3.1.129;247;1683548229.635368;13958;8.8.8.8;10;1683548229.621410;33440;
2023-05-08 15:17:17.535479;1683548237.535487;False;72.14.220.188;16364;72.14.220.188;243;1683548229.646745;9451;8.8.8.8;11;1683548229.637294;33440;
2023-05-08 15:17:17.535736;1683548237.535745;False;108.170.250.51;16364;108.170.250.51;241;1683548229.713242;60422;8.8.8.8;12;1683548229.652820;33440;
2023-05-08 15:17:17.535907;1683548237.535913;False;;;;;;None;8.8.8.8;13;1683548229.668794;33440;
2023-05-08 15:17:17.536120;1683548237.536127;False;74.125.253.94;16364;74.125.253.94;241;1683548229.729207;38184;8.8.8.8;14;1683548229.691023;33440;
2023-05-08 15:17:17.536225;1683548237.5362298;False;172.253.51.219;16364;172.253.51.219;241;1683548229.756150;48009;8.8.8.8;15;1683548229.708141;33440;
2023-05-08 15:17:17.536429;1683548237.536436;True;;;;;;None;8.8.8.8;16;1683548229.728652;33440;
2023-05-08 15:17:17.536589;1683548237.5365949;False;192.168.0.1;0;192.168.0.1;64;1683548230.13240;19710;8.8.8.8;1;1683548229.993530;33441;
2023-05-08 15:17:17.537111;1683548237.537121;False;100.79.0.1;0;100.79.0.1;254;1683548230.35972;25489;8.8.8.8;2;1683548230.10483;33441;
2023-05-08 15:17:17.537367;1683548237.537374;False;10.1.139.5;0;10.1.139.5;62;1683548230.30512;4031;8.8.8.8;3;1683548230.26481;33441;
2023-05-08 15:17:17.538056;1683548237.5380669;False;10.1.139.17;0;10.1.139.17;254;1683548230.51733;8907;8.8.8.8;4;1683548230.42826;33441;
2023-05-08 15:17:17.538233;1683548237.538241;False;10.0.21.163;0;10.0.21.163;251;1683548230.83746;23755;8.8.8.8;5;1683548230.59991;33441;
2023-05-08 15:17:17.538516;1683548237.5385249;False;10.17.0.139;0;10.17.0.139;250;1683548230.89511;10173;8.8.8.8;6;1683548230.79338;33441;
2023-05-08 15:17:17.538660;1683548237.538668;False;10.17.0.100;0;10.17.0.100;249;1683548230.106944;8696;8.8.8.8;7;1683548230.98248;33441;
2023-05-08 15:17:17.538834;1683548237.538841;False;10.17.0.66;16364;10.17.0.66;248;1683548230.123706;4708;8.8.8.8;8;1683548230.118998;33441;
2023-05-08 15:17:17.538938;1683548237.538944;False;10.17.0.150;16364;10.17.0.150;248;1683548230.147338;8157;8.8.8.8;9;1683548230.139181;33441;
