1679764962.6281035;173.212.238.3;62.140.24.1;8.485
1679764962.6285884;62.140.24.1;4.69.161.102;41.6
1679764962.6287205;4.69.161.102;212.133.6.54;41.678
1679764962.628845;212.133.6.54;87.250.239.185;61.075
1679764974.2926278;173.212.238.3;62.140.26.21;6.028
1679764974.2927961;62.140.26.21;4.69.158.190;6.075
1679764974.2929091;4.69.158.190;142.250.165.106;5.535
1679764974.2930176;142.250.165.106;142.251.65.131;4.63
1679764974.2931275;142.251.65.131;142.250.236.51;14.613
1679764974.2932365;142.250.236.51;142.250.185.142;3.585
1679764984.105007;173.212.238.3;62.67.36.137;8.384
1679764984.105177;172.71.244.5;1.1.1.1;6.051
1679765042.5672586;173.212.238.3;62.140.24.1;8.479
1679765042.5675182;62.140.24.1;4.69.161.102;41.574
1679765042.5676017;4.69.161.102;212.133.6.54;41.635
1679765042.5676649;212.133.6.54;87.250.239.185;59.18
1679765052.204962;173.212.238.3;195.16.162.233;5.908
1679765052.2051618;195.16.162.233;4.69.158.190;6.057
1679765052.2052507;4.69.158.190;142.250.165.106;5.543
1679765052.205312;142.250.165.106;142.251.48.235;3.677
1679765052.2053707;142.251.48.235;142.250.229.59;3.654
1679765052.2054284;142.250.229.59;142.250.181.238;3.569
1679765057.7407193;173.212.238.3;62.67.36.137;8.344
1679765057.7409015;172.71.244.5;1.1.1.1;5.969
1679765095.3396108;213.136.75.1;62.115.33.118;0.775
1679765095.3397326;62.115.118.111;62.115.125.161;165.517
1679765095.3397994;62.115.125.161;213.248.81.134;165.657
1679765095.3398604;213.248.81.134;66.151.144.71;162.544
1679765095.3399198;66.151.144.71;64.74.135.182;162.361
1679765095.339978;64.74.135.182;74.217.183.17;173.762
1679765095.340035;74.217.183.17;45.12.131.7;162.513
1679765119.7317061;213.136.75.1;62.115.33.118;0.791
1679765119.7318342;62.115.112.244;62.115.118.149;113.191
1679765119.7319036;62.115.118.149;62.115.115.71;113.012
1679765119.7319663;62.115.115.71;213.248.70.98;112.888
1679765119.7320254;213.248.70.98;138.199.0.233;112.87
1679765119.732138;138.199.0.233;87.249.134.236;112.639
1679765147.5434117;213.136.75.1;62.115.33.118;0.734
1679765147.5435946;62.115.112.244;80.91.246.162;112.991
1679765147.5436935;80.91.246.162;62.115.132.155;155.724
1679765147.5437882;62.115.132.155;80.239.193.194;155.701
1679765147.5438814;80.239.193.194;185.156.45.151;155.69
1679765147.5439744;185.156.45.151;138.199.43.6;155.576
1679765212.4410155;173.212.238.3;62.67.36.137;8.384
